Column1,Column2
104.22.79.211,137
104.22.79.249,137
104.22.79.237,137
104.22.79.209,137
104.27.192.192,137
104.27.193.8,137
104.27.193.74,137
104.27.193.184,137
104.27.195.105,137
104.27.195.192,137
104.27.194.141,137
104.27.195.136,137
104.27.193.132,137
104.27.193.163,137
104.27.194.48,137
104.27.195.217,137
104.27.194.169,137
104.27.195.244,137
104.27.195.252,137
104.27.196.53,137
104.27.196.128,137
104.27.196.231,137
104.27.197.24,137
104.27.196.171,137
104.27.197.2,137
104.27.197.35,137
104.27.197.126,137
104.27.198.197,137
104.27.199.17,137
104.27.197.221,137
104.27.197.182,137
104.27.198.172,137
104.27.198.243,137
104.27.199.95,137
104.27.199.109,137
104.27.199.103,137
104.27.201.6,137
104.27.200.95,137
104.27.199.132,137
104.27.201.58,137
104.27.201.248,137
104.27.201.249,137
104.27.201.150,137
104.27.201.171,137
104.27.203.29,137
104.27.201.0,137
104.27.201.190,137
104.27.202.247,137
104.27.203.22,137
104.27.199.135,137
104.27.203.30,137
104.27.203.8,137
104.27.203.86,137
104.27.203.111,137
104.27.203.200,137
104.27.204.32,137
104.27.203.228,137
104.27.203.249,137
104.27.204.104,137
104.27.204.91,137
104.27.204.184,137
104.27.205.195,137
104.27.206.40,137
104.27.204.166,137
104.27.206.87,137
104.27.206.41,137
104.27.206.61,137
104.27.206.213,137
104.27.207.26,137
104.27.207.112,137
104.27.207.209,137
104.27.207.250,137
104.27.207.168,137
104.27.207.146,137
172.67.48.19,137
172.67.48.85,137
172.67.49.34,137
172.67.50.97,137
172.67.53.8,137
172.67.55.66,137
172.67.57.22,137
172.67.57.43,137
172.67.60.85,137
172.67.60.108,137
172.67.63.217,137
172.67.52.6,137
172.67.52.67,137
172.67.53.83,137
172.67.53.226,137
172.67.53.247,137
172.67.56.27,137
172.67.57.11,137
172.67.57.120,137
172.67.59.233,137
172.67.56.205,137
172.67.61.124,137
172.67.62.247,137
172.67.63.154,137
172.67.63.196,137
172.67.49.222,137
172.67.54.162,137
104.22.65.92,138
104.22.65.93,138
104.22.65.252,138
104.22.67.112,138
104.22.67.36,138
104.22.69.27,138
104.22.68.123,138
104.22.69.24,138
104.22.69.126,138
104.22.69.170,138
104.22.69.177,138
104.22.70.91,138
104.22.72.92,138
104.22.72.40,138
104.22.72.63,138
104.22.72.103,138
104.22.73.69,138
104.22.73.209,138
104.22.73.237,138
104.22.74.159,138
104.22.76.78,138
104.22.76.97,138
104.22.76.217,138
104.22.77.140,138
104.22.78.129,138
104.22.79.98,138
104.22.79.59,138
104.22.79.24,138
104.22.78.249,138
104.22.79.177,138
104.27.192.65,138
104.27.192.70,138
104.27.192.233,138
104.27.194.84,138
104.27.194.152,138
104.27.194.17,138
104.27.194.239,138
104.27.195.125,138
104.27.195.78,138
104.27.195.225,138
104.27.194.143,138
104.27.193.18,138
104.27.196.74,138
104.27.196.133,138
104.27.196.60,138
104.27.196.81,138
104.27.196.180,138
104.27.197.112,138
104.27.197.116,138
104.27.197.144,138
104.27.198.119,138
104.27.198.254,138
104.27.197.45,138
104.27.198.64,138
104.27.198.193,138
104.27.199.62,138
104.27.200.30,138
104.27.200.223,138
104.27.200.83,138
104.27.202.71,138
104.27.202.218,138
104.27.202.252,138
104.27.203.133,138
104.27.203.128,138
104.27.204.69,138
104.27.204.164,138
104.27.205.218,138
104.27.204.67,138
104.27.206.111,138
104.27.206.86,138
104.27.207.139,138
104.27.207.212,138
172.67.48.142,138
172.67.49.13,138
172.67.50.65,138
172.67.55.27,138
172.67.56.33,138
172.67.59.2,138
172.67.59.45,138
172.67.60.133,138
172.67.49.46,138
172.67.50.198,138
172.67.50.225,138
172.67.54.84,138
172.67.54.228,138
172.67.48.140,138
172.67.61.136,138
172.67.48.50,138
172.67.61.36,138
172.67.62.24,138
172.67.62.127,138
104.22.64.38,139
104.22.64.34,139
104.22.64.243,139
104.22.64.159,139
104.22.64.186,139
104.22.64.76,139
104.22.65.23,139
104.22.64.112,139
104.22.66.8,139
104.22.66.42,139
104.22.66.48,139
104.22.66.141,139
104.22.66.84,139
104.22.67.233,139
104.22.67.124,139
104.22.68.41,139
104.22.68.228,139
104.22.67.151,139
104.22.68.140,139
104.22.67.219,139
104.22.69.90,139
104.22.69.116,139
104.22.70.64,139
104.22.71.131,139
104.22.72.43,139
104.22.72.239,139
104.22.72.229,139
104.22.73.59,139
104.22.73.79,139
104.22.73.203,139
104.22.73.105,139
104.22.73.220,139
104.22.74.45,139
104.22.73.68,139
104.22.75.29,139
104.22.76.36,139
104.22.76.0,139
104.22.74.71,139
104.22.77.102,139
104.22.76.240,139
104.22.77.167,139
104.22.78.92,139
104.22.78.8,139
104.22.78.250,139
104.22.78.209,139
104.22.79.188,139
104.27.192.69,139
104.27.192.71,139
104.27.192.173,139
104.27.192.255,139
104.27.192.196,139
104.27.193.51,139
104.27.193.133,139
104.27.194.128,139
104.27.193.197,139
104.27.195.45,139
104.27.194.236,139
104.27.192.156,139
104.27.195.137,139
104.27.196.54,139
104.27.196.101,139
104.27.196.86,139
104.27.196.110,139
104.27.196.132,139
104.27.196.181,139
104.27.197.156,139
104.27.198.15,139
104.27.198.36,139
104.27.199.120,139
104.27.199.123,139
104.27.200.53,139
104.27.200.75,139
104.27.200.178,139
104.27.200.200,139
104.27.201.33,139
104.27.201.211,139
104.27.201.78,139
104.27.202.47,139
104.27.202.193,139
104.27.202.144,139
104.27.201.76,139
104.27.203.55,139
104.27.203.83,139
104.27.203.161,139
104.27.203.178,139
104.27.204.27,139
104.27.204.204,139
104.27.204.118,139
104.27.204.245,139
104.27.205.62,139
104.27.204.150,139
104.27.205.10,139
104.27.205.20,139
104.27.205.241,139
104.27.206.143,139
104.27.206.142,139
104.27.207.117,139
104.27.207.56,139
104.27.207.88,139
172.67.48.123,139
172.67.52.12,139
172.67.54.53,139
172.67.48.18,139
172.67.48.248,139
172.67.49.56,139
172.67.50.69,139
172.67.63.52,139
172.67.50.107,139
172.67.52.186,139
172.67.53.50,139
172.67.58.72,139
172.67.58.92,139
172.67.61.138,139
172.67.63.22,139
172.67.52.192,139
172.67.58.190,139
172.67.54.201,139
172.67.55.159,139
172.67.58.181,139
172.67.61.90,139
172.67.63.155,139
172.67.58.87,139
172.67.53.49,139
172.67.60.53,139
172.67.49.170,139
172.67.51.230,139
104.22.64.3,140
104.22.64.253,140
104.22.65.244,140
104.22.66.250,140
104.22.67.125,140
104.22.67.119,140
104.22.68.128,140
104.22.69.136,140
104.22.69.201,140
104.22.70.159,140
104.22.71.80,140
104.22.72.62,140
104.22.72.129,140
104.22.72.189,140
104.22.72.75,140
104.22.72.183,140
104.22.74.2,140
104.22.75.132,140
104.22.75.143,140
104.22.75.191,140
104.22.74.164,140
104.22.74.197,140
104.22.76.65,140
104.22.75.220,140
104.22.76.126,140
104.22.77.129,140
104.22.77.134,140
104.22.77.193,140
104.22.77.131,140
104.22.77.49,140
104.22.78.179,140
104.27.192.113,140
104.27.193.216,140
104.27.193.142,140
104.27.194.221,140
104.27.195.206,140
104.27.193.206,140
104.27.194.168,140
104.27.195.253,140
104.27.196.142,140
104.27.197.145,140
104.27.196.213,140
104.27.196.170,140
104.27.198.37,140
104.27.199.63,140
104.27.199.253,140
104.27.200.238,140
104.27.201.67,140
104.27.202.125,140
104.27.202.219,140
104.27.202.233,140
104.27.201.114,140
104.27.204.78,140
104.27.204.4,140
104.27.204.219,140
104.27.206.19,140
104.27.203.223,140
104.27.206.54,140
104.27.206.190,140
104.27.206.203,140
104.27.206.212,140
104.27.206.236,140
104.27.207.77,140
104.27.207.71,140
104.27.207.203,140
172.67.54.63,140
172.67.55.214,140
172.67.59.64,140
172.67.61.88,140
172.67.48.154,140
172.67.63.18,140
172.67.63.160,140
172.67.56.126,140
172.67.58.63,140
172.67.60.201,140
172.67.61.181,140
172.67.48.236,140
172.67.62.144,140
172.67.63.54,140
172.67.50.104,140
172.67.56.79,140
172.67.56.216,140
172.67.49.138,140
172.67.63.133,140
172.67.53.82,140
172.67.53.60,140
172.67.49.107,140
172.67.52.116,140
172.67.54.94,140
104.22.64.119,141
104.22.65.129,141
104.22.65.194,141
104.22.65.78,141
104.22.66.160,141
104.22.69.107,141
104.22.72.180,141
104.22.74.12,141
104.22.74.67,141
104.22.74.99,141
104.22.74.188,141
104.22.77.247,141
104.22.78.153,141
104.27.192.99,141
104.27.194.80,141
104.27.195.164,141
104.27.195.69,141
104.27.195.189,141
104.27.193.73,141
104.27.193.199,141
104.27.198.105,141
104.27.198.61,141
104.27.199.11,141
104.27.200.60,141
104.27.202.12,141
104.27.202.127,141
104.27.201.209,141
104.27.204.46,141
104.27.205.11,141
104.27.204.205,141
104.27.204.79,141
104.27.205.193,141
104.27.204.227,141
104.27.205.121,141
104.27.206.51,141
104.27.205.225,141
104.27.205.81,141
104.27.206.157,141
172.67.51.213,141
172.67.53.19,141
172.67.55.58,141
172.67.61.91,141
172.67.63.63,141
172.67.50.165,141
172.67.60.121,141
172.67.48.122,141
172.67.50.254,141
172.67.49.238,141
172.67.51.140,141
172.67.56.172,141
172.67.61.68,141
172.67.62.7,141
172.67.63.8,141
104.22.64.2,142
104.22.65.72,142
104.22.66.82,142
104.22.68.126,142
104.22.69.6,142
104.22.68.192,142
104.22.69.183,142
104.22.70.59,142
104.22.69.215,142
104.22.71.79,142
104.22.72.158,142
104.22.72.29,142
104.22.72.240,142
104.22.76.14,142
104.22.73.115,142
104.22.75.219,142
104.22.77.113,142
104.22.77.152,142
104.27.195.0,142
104.27.195.176,142
104.27.193.188,142
104.27.194.125,142
104.27.196.9,142
104.27.196.158,142
104.27.197.31,142
104.27.198.232,142
104.27.199.50,142
104.27.200.10,142
104.27.201.90,142
104.27.200.168,142
104.27.201.188,142
104.27.200.78,142
104.27.200.120,142
104.27.203.127,142
104.27.203.142,142
104.27.204.113,142
104.27.205.187,142
104.27.204.226,142
104.27.206.30,142
104.27.206.134,142
104.27.206.23,142
172.67.48.111,142
172.67.49.145,142
172.67.51.202,142
172.67.53.111,142
172.67.48.222,142
172.67.50.174,142
172.67.63.175,142
172.67.52.144,142
172.67.52.159,142
172.67.62.252,142
172.67.63.47,142
172.67.52.149,142
172.67.50.32,142
172.67.57.21,142
172.67.61.170,142
172.67.62.145,142
172.67.63.55,142
172.67.58.215,142
172.67.59.241,142
172.67.59.24,142
104.22.64.98,143
104.22.64.124,143
104.22.64.71,143
104.22.65.240,143
104.22.64.149,143
104.22.64.62,143
104.22.67.107,143
104.22.67.109,143
104.22.68.22,143
104.22.67.242,143
104.22.71.45,143
104.22.71.194,143
104.22.70.156,143
104.22.73.157,143
104.22.75.240,143
104.22.76.140,143
104.22.76.182,143
104.22.76.223,143
104.22.76.138,143
104.22.76.172,143
104.22.77.186,143
104.22.78.91,143
104.22.78.73,143
104.27.192.67,143
104.27.192.98,143
104.27.192.112,143
104.27.193.22,143
104.27.193.86,143
104.27.193.19,143
104.27.195.161,143
104.27.193.103,143
104.27.196.27,143
104.27.196.56,143
104.27.196.178,143
104.27.196.103,143
104.27.196.163,143
104.27.197.217,143
104.27.198.30,143
104.27.198.21,143
104.27.198.141,143
104.27.197.174,143
104.27.201.14,143
104.27.200.173,143
104.27.199.216,143
104.27.202.105,143
104.27.202.132,143
104.27.202.181,143
104.27.203.45,143
104.27.202.67,143
104.27.204.16,143
104.27.204.173,143
104.27.205.44,143
104.27.205.65,143
104.27.205.206,143
104.27.205.72,143
104.27.206.62,143
104.27.206.50,143
104.27.207.91,143
104.27.207.109,143
104.27.207.234,143
104.27.207.223,143
172.67.49.112,143
172.67.50.244,143
172.67.52.174,143
172.67.53.31,143
172.67.57.62,143
172.67.60.90,143
172.67.61.171,143
172.67.51.14,143
172.67.55.219,143
172.67.60.131,143
172.67.48.23,143
172.67.61.4,143
172.67.58.202,143
172.67.50.184,143
172.67.57.167,143
172.67.48.133,143
172.67.62.89,143
172.67.54.49,143
172.67.57.164,143
172.67.49.220,143
172.67.61.151,143
172.67.60.17,143
104.22.64.40,144
104.22.64.53,144
104.22.64.84,144
104.22.65.152,144
104.22.64.235,144
104.22.65.41,144
104.22.64.183,144
104.22.66.155,144
104.22.66.153,144
104.22.66.216,144
104.22.67.187,144
104.22.68.104,144
104.22.68.3,144
104.22.67.120,144
104.22.67.186,144
104.22.68.60,144
104.22.67.230,144
104.22.68.29,144
104.22.68.253,144
104.22.68.213,144
104.22.69.67,144
104.22.69.66,144
104.22.69.139,144
104.22.69.233,144
104.22.70.7,144
104.22.70.36,144
104.22.70.92,144
104.22.70.9,144
104.22.70.234,144
104.22.71.88,144
104.22.72.136,144
104.22.71.213,144
104.22.70.245,144
104.22.70.52,144
104.22.73.6,144
104.22.73.99,144
104.22.73.179,144
104.22.74.124,144
104.22.74.156,144
104.22.74.31,144
104.22.74.200,144
104.22.75.198,144
104.22.74.85,144
104.22.73.140,144
104.22.74.130,144
104.22.76.31,144
104.22.76.69,144
104.22.73.199,144
104.22.76.34,144
104.22.76.25,144
104.22.76.102,144
104.22.76.210,144
104.22.77.158,144
104.22.77.31,144
104.22.78.60,144
104.22.77.246,144
104.22.77.149,144
104.22.79.33,144
104.22.79.67,144
104.22.78.230,144
104.22.78.171,144
104.22.79.114,144
104.22.77.10,144
104.22.79.180,144
104.22.79.243,144
104.27.192.55,144
104.27.192.246,144
104.27.193.110,144
104.27.194.161,144
104.27.192.212,144
